source,4.498370409795662e-51,1
insider,1.6218052533885765e-48,1
fake,2.7132884350971252e-42,1
false,1.0032775018864764e-30,1
denial,1.764605984146163e-28,1
islam,2.597520982191113e-28,1
woods,1.8544235583190606e-27,1
their,1.9157975343831406e-26,1
debunking,4.323868423717469e-23,1
pipeline,4.8005660076855347e-23,1
staged,1.1099665970432688e-22,1
reported,7.176273285814381e-22,1
claims,1.3447555732209206e-21,1
statement,3.345889298715257e-21,1
website,1.514391922470363e-19,1
brad,2.180936566610445e-19,1
snopes,2.549351048409402e-19,1
store,3.1486440666790913e-19,1
wants,8.064989492288565e-19,1
ny,2.2357608111722324e-18,1
comcast,2.614282243116152e-18,1
debunked,2.202391151908066e-17,1
pr,1.2239367685569207e-16,1
selena,1.4871560695944424e-16,1
justin,1.7500735866443844e-16,1
shes,9.896836848399605e-16,1
issued,1.0587618190305798e-15,1
brian,1.7978046397945113e-15,1
journal,8.409672093042573e-15,1
originated,1.2155935920396958e-14,1
evidence,2.269274836310845e-14,1
scenes,3.1514925738980504e-14,1
exclusively,4.7452532895677355e-14,1
star,7.275152133227056e-14,1
obvious,7.565654730304742e-14,1
media,1.560751368067245e-13,1
simply,2.239062044107979e-13,1
reporter,2.4587497646874984e-13,1
fbi,2.555650168223954e-13,1
kanye,8.804768346588318e-13,1
muslim,9.390721614281666e-13,1
radar,1.8302257363056816e-12,1
president,1.9643256217086926e-12,1
robert,4.0771520479644905e-12,1
stated,6.198990017362349e-12,1
may,7.799014927658782e-12,1
paper,1.1197526834572958e-11,1
these,1.141565317844401e-11,1
report,1.3945304513525976e-11,1
offered,1.4000016088127132e-11,1
amazon,2.209825957850633e-11,1
explain,2.209825957850633e-11,1
stock,2.4355974229622207e-11,1
revealed,2.6793594840645613e-11,1
offer,3.079030524434378e-11,1
jen,3.285687959712758e-11,1
sources,9.156876584699237e-11,1
hillary,1.094029581756809e-10,1
campus,1.4168324407139614e-10,1
nightly,1.4168324407139614e-10,1
al,1.6696533168806307e-10,1
open,1.8255745590531084e-10,1
call,1.97319597496159e-10,1
tom,2.81723251798325e-10,1
secret,4.3646599038643093e-10,1
life,5.676335526823382e-10,1
angelina,5.97383233147483e-10,1
trying,6.138363956935913e-10,1
marriage,6.290692712063748e-10,1
total,7.972364025543845e-10,1
told,9.089791606385942e-10,1
kim,1.0379319962868294e-09,1
taylor,1.0716420018593732e-09,1
order,1.0944616618330185e-09,1
contract,1.2266900039862614e-09,1
comment,3.3965936059213257e-09,1
dollar,3.6271951459206746e-09,1
wrong,3.838822956991124e-09,1
quote,4.272579658486763e-09,1
camera,5.2331594261357574e-09,1
make,6.185669356193075e-09,1
caused,7.60704332896501e-09,1
illegal,1.1354494665071939e-08,1
original,1.3392057076765082e-08,1
williams,1.653472951000202e-08,1
noted,2.0664378073662416e-08,1
reportedly,2.6915454947274227e-08,1
physical,3.371589818924466e-08,1
isis,3.543207213480031e-08,1
divorce,4.335385836597019e-08,1
determined,4.8166073753610894e-08,1
rep,6.148829734410948e-08,1
emails,7.656135420535733e-08,1
phone,7.900843964325873e-08,1
michelle,8.12759758533939e-08,1
customers,9.372080296093652e-08,1
allegedly,1.4617973949217673e-07,1
plans,1.714459767020966e-07,1
sex,1.8381668105224673e-07,1
microsoft,2.1047275912152332e-07,1
obamacare,2.2682019505024897e-07,1
during,2.849755295348285e-07,1
friends,2.898282099300378e-07,1
feels,2.9060264219042716e-07,1
reports,4.008840904612213e-07,1
actor,5.13007534865774e-07,1
caught,5.315812484392234e-07,1
apparently,5.698241659130258e-07,1
telling,8.085763289404152e-07,1
use,8.719014969114131e-07,1
should,1.1439644342002878e-06,1
club,1.2597776377279635e-06,1
nbc,1.3400533850436744e-06,1
jennifer,1.4236440854244384e-06,1
weeknd,1.560806453690839e-06,1
interests,2.1657664045803334e-06,1
face,3.0837156806471183e-06,1
nothing,3.2687609053528294e-06,1
god,3.503697595194941e-06,1
site,3.503697595194941e-06,1
however,4.927410791651563e-06,1
michael,4.9744774963469685e-06,1
wall,5.086282271835988e-06,1
rather,5.158360839296503e-06,1
alleged,5.738799497456695e-06,1
white,6.003635507833094e-06,1
twitter,8.976529412434596e-06,1
holiday,1.0615424054542602e-05,1
clearly,1.1421959811541948e-05,1
area,1.2377543490942894e-05,1
real,1.3210237051953048e-05,1
street,1.3401600822620259e-05,1
business,1.764390796761938e-05,1
wedding,1.8278785521497912e-05,1
ad,2.05606922410668e-05,1
email,2.135167335283928e-05,1
doesnt,2.285135172067959e-05,1
such,2.7567834630245676e-05,1
share,3.0836251401642296e-05,1
explained,3.124880861762788e-05,1
deep,3.191172351193469e-05,1
hollywood,3.204026871435107e-05,1
due,3.69511151611864e-05,1
addition,4.754725877057651e-05,1
idea,5.0013092615838817e-05,1
exclusive,5.172898803554758e-05,1
adults,5.196105900970231e-05,1
mike,5.31008053551378e-05,1
islamic,6.952276304509232e-05,1
queen,7.704227920050532e-05,1
move,7.704589443172907e-05,1
claimed,8.075150581402283e-05,1
led,8.531576077132835e-05,1
dc,9.045166784673262e-05,1
clear,0.00011143320824823417,1
fear,0.00011252172052253063,1
kardashian,0.00011686789227225984,1
received,0.0001199569228111773,1
terrorist,0.00012951405436537956,1
men,0.00013013337121850724,1
kylie,0.00013151542860959095,1
market,0.00013308532992811666,1
cannot,0.00013501283350125822,1
talking,0.00013531102390166138,1
dead,0.00014418592090353338,1
several,0.00015931696232476345,1
gossip,0.0001661367324959447,1
blake,0.00017458238629285494,1
muslims,0.00018220381026624375,1
old,0.00018697909934013192,1
leaving,0.00018898873772190916,1
released,0.0001913986262759157,1
recently,0.00019447172771339442,1
plan,0.00020935048537590637,1
situation,0.00021272405930762328,1
completely,0.00021280978316383866,1
border,0.00021280978316383866,1
making,0.0002128173638265677,1
kris,0.0002152187383728712,1
fox,0.0002199685241337745,1
seen,0.00022832951104927328,1
using,0.0002337787206996996,1
based,0.0002337787206996996,1
himself,0.0002826369090331679,1
scandal,0.00028325782010315805,1
planning,0.00028325782010315805,1
sexual,0.00028325782010315805,1
gay,0.00029521370143677206,1
2014,0.00031323660530757066,1
lady,0.00031333816101954603,1
criminal,0.0003337170419097876,1
learned,0.0003421188231184984,1
saudi,0.0003526537461162168,1
happened,0.0003776936859032504,1
believe,0.00042614582712067795,1
